,Unnamed: 0,Name,Genre,Category,Release_Date,Price (in $),Owners,Followers,Developers,Publishers
0,0,Tetris effect: connected,"Casual, Indie"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",2021-08-17,39.99,"200,000 - 500,000","14,663",Stage Games,Enhance
1,1,Chicory: a colorful tale,"Indie, RPG"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-06-10,19.99,"100,000 - 200,000","10,504",A Shell in the Pit,Finji
2,2,Opus: echo of starsong - full bloom edition,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Family Sharing",2021-08-31,24.99,"200,000 - 500,000","27,588",SIGONO INC.,SIGONO INC.
3,3,Psychonauts 2,"Action, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-08-24,59.99,"200,000 - 500,000","37,393",Double Fine Productions,Xbox Game Studios
4,4,It takes two,"Action, Adventure"," Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together",2021-03-25,39.99,"5,000,000 - 10,000,000","442,068",Hazelight,Electronic Arts
5,5,Ragnarock,"Casual, Indie"," Single-player, Multi-player, PvP, Online PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Supported, In-App Purchases, Partial Controller Support, Remote Play Together, Family Sharing",2021-07-15,24.99,"100,000 - 200,000","8,354",WanadevStudio,WanadevStudio
6,6,Mini motorways,"Simulation, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",2021-07-20,8.49,"500,000 - 1,000,000","34,926",Dinosaur Polo Club,Dinosaur Polo Club
7,7,Deathloop,"Fr, Action"," Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, HDR available, Family Sharing",2021-09-13,59.99,"1,000,000 - 2,000,000","87,743",Arkane Studios,Bethesda Softworks
8,8,Blind drive,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",2021-03-10,9.99,"0 - 20,000","1,102",Lo-Fi People,Lo-Fi People
9,9,The last friend,"Indie, Strategy"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing",2021-09-30,14.99,"0 - 20,000","1,142",Ludus Games,Skystone Games
10,10,Cook-out,"Indie, Simulation"," Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Only, Steam Cloud, Steam Leaderboards, Family Sharing",2021-04-20,19.99,"0 - 20,000",947,Resolution Games,Resolution Games
11,11,Lacuna – a sci-fi noir adventure,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing",2021-05-20,15.99,"500,000 - 1,000,000","7,729",WhisperGames,Mayflower Entertainment
12,12,Wildermyth,"Strategy, in Early Access"," Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing",,24.99,"500,000 - 1,000,000","82,718",Worldwalker Games LLC,WhisperGames
13,13,Ender lilies: quietus of the knights,"RPG, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",,24.99,"500,000 - 1,000,000","100,422",Adglobe,Binary Haze Interactive
14,15,Nioh 2 – the complete edition,"Action, RPG"," Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, HDR available, Family Sharing",2021-02-05,49.99,"1,000,000 - 2,000,000","98,334",KOEI TECMO GAMES CO.,LTD.
15,16,Mass effect legendary edition,"Action, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV",2021-05-14,59.99,"1,000,000 - 2,000,000","119,031",BioWare,Electronic Arts
16,17,Huntdown,"Action, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",2021-05-12,19.99,"100,000 - 200,000","14,559",Easy Trigger Games,Coffee Stain Publishing
17,18,The forgotten city,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-07-28,24.99,"200,000 - 500,000","37,858",Modern Storyteller,Dear Villagers
18,19,Death's door,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-07-20,19.99,"500,000 - 1,000,000","62,188",Acid Nerve,Devolver Digital
19,21,Guilty gear -strive-,"Fr, Action"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-06-11,19.99,"1,000,000 - 2,000,000","93,580",Arc System Works,Arc System Works
20,22,Atelier ryza 2: lost legends & the secret fairy,"Fr, RPG"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing",2021-01-25,59.99,"200,000 - 500,000","46,027",KOEI TECMO GAMES CO.,LTD.
21,23,Heavenly bodies,"Indie, Simulation"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",2021-12-07,19.99,"200,000 - 500,000","15,903",2pt Interactive,2pt Interactive
22,24,Griftlands,"Indie, in Early Access"," Single-player, Steam Workshop, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing",,19.99,"500,000 - 1,000,000","57,604",Klei Entertainment,Klei Entertainment
23,25,Tales of arise,"Action, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-09-09,39.99,"2,000,000 - 5,000,000","141,289",Bandai Namco Studios Inc.,Bandai Namco Entertainment
24,26,Elechead,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-10-14,9.99,"50,000 - 100,000","1,470",Tsuyomi,NamaTakahashi
25,27,Humanity lost,"Adventure, RPG"," Single-player, Family Sharing",2021-04-26,3.99,"0 - 20,000",786,Crafty Game Lab,Crafty Game Lab
26,28,Sam & max: beyond time and space,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",2021-12-08,19.99,"0 - 20,000","3,381",Skunkape Games,Skunkape Games
27,29,Astalon: tears of the earth,"Action, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-03,9.99,"20,000 - 50,000","4,500",LABS Works,DANGEN Entertainment
28,30,Fuga: melodies of steel,"Simulation, Strategy"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",2021-07-28,39.99,"20,000 - 50,000","10,879",CyberConnect2,CyberConnect2
29,31,The darkside detective: a fumble in the dark,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-04-15,8.24,"50,000 - 100,000","5,870",Spooky Doorway,Akupara Games
30,32,Unsighted,"Indie, RPG"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",2021-09-30,19.99,"50,000 - 100,000","12,745",Studio Pixel Punk,Humble Games
31,33,Sunlight,"Adventure, Indie"," Single-player, Partial Controller Support, Family Sharing",2021-01-14,3.99,"0 - 20,000","1,004",Krillbite Studio,Krillbite Studio
32,34,Papetura,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",2021-05-07,11.99,"20,000 - 50,000","6,494",Petums,Petums
33,35,Demeo,"RPG, Strategy"," Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Family Sharing",2021-05-06,39.99,"100,000 - 200,000","12,902",Resolution Games,Resolution Games
34,36,Shadow tactics: aiko's choice,"Indie, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",2021-12-06,4.99,"200,000 - 500,000","15,824",Mimimi Games,Daedalic Entertainment
35,37,The great ace attorney chronicles,"Fr, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-07-26,15.99,"100,000 - 200,000","28,113",CAPCOM Co.,Ltd.
36,38,Everhood,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-03-04,9.99,"200,000 - 500,000","13,225",Foreign Gnomes,Surefire.Games
37,39,The riftbreaker,"Simulation, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on TV, Family Sharing",2021-10-14,29.99,"1,000,000 - 2,000,000","91,706",EXOR Studios,Surefire.Games
38,40,Unpacking,"Indie, Simulation"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-11-01,9.99,"500,000 - 1,000,000","65,233",Witch Beam,Humble Games
39,41,Pathfinder: wrath of the righteous - enhanced edition,"RPG, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-09-02,39.99,"1,000,000 - 2,000,000","113,310",META Publishing,Owlcat Games
40,42,Little nightmares ii,"Fr, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",2021-02-10,13.99,"1,000,000 - 2,000,000","150,661",Tarsier Studios,BANDAI NAMCO Entertainment
41,43,Resident evil village,"Fr, Action"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",2021-05-06,15.99,"2,000,000 - 5,000,000","185,172",CAPCOM Co.,Ltd.
42,44,Unmetal,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-09-28,19.99,"100,000 - 200,000","11,709",@unepic_fran,Versus Evil
43,45,The life and suffering of sir brante,"Simulation, Strategy"," Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",2021-03-04,19.99,"200,000 - 500,000","18,337",Sever,101XP
44,46,Tainted grail: conquest,"RPG, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",,19.99,"200,000 - 500,000","40,292",Questline,Awaken Realms
45,47,Gloomhaven,"Strategy, in Early Access"," Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",,34.99,"500,000 - 1,000,000","88,375",Saber Interactive,Twin Sails Interactive
46,48,Eastward,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-09-16,24.99,"500,000 - 1,000,000","107,089",Pixpil,Chucklefish
47,49,Monster hunter stories 2: wings of ruin,"Adventure, RPG"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-07-08,29.99,"2,000,000 - 5,000,000","67,828",CAPCOM Co.,Ltd.
48,50,Clone drone in the danger zone,"Action, Indie"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Captions available, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",2021-07-27,19.99,"500,000 - 1,000,000","32,617",Doborog Games,Doborog Games
49,52,Star drift evolution,"Fr, Racing"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",2021-08-27,14.99,"20,000 - 50,000",972,Catze,Catze
50,53,Cyber shadow,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-01-26,19.99,"200,000 - 500,000","9,536","Aarne ""MekaSkull"" Hunziker",Yacht Club Games
51,54,Kaze and the wild masks,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-03-26,14.99,"0 - 20,000","5,616",PixelHive,SOEDESCO
52,55,The ramp,"Simulation, Sports"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-08-03,5.99,"50,000 - 100,000","2,850",Paul Schnepf,hyperparadise
53,56,Svoboda 1945: liberation,"Adventure, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-08-03,15.99,"20,000 - 50,000","1,706",Charles Games,Charles Games
54,57,Rainbow billy: the curse of the leviathan,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",2021-10-05,19.99,"0 - 20,000","1,466",ManaVoid Entertainment,Skybound Games
55,58,Silicon dreams | cyberpunk interrogation,"Indie, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-04-20,16.99,"50,000 - 100,000","1,926",Clockwork Bird,Clockwork Bird
56,59,Bonfire peaks,"Fr, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-09-30,19.99,"20,000 - 50,000","1,516",Corey Martin,Draknek
57,60,Ynglet,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-06-05,4.99,"20,000 - 50,000","1,087",Nifflas,Triple Topping
58,61,Overboard!,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-06-02,14.99,"50,000 - 100,000","3,362",inkle Ltd,inkle Ltd
59,62,Flynn: son of crimson,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-09-15,19.99,"20,000 - 50,000","7,415",Studio Thunderhorse,Humble Games
60,63,Doctor who: the lonely assassins,"Casual, Indie"," Single-player, Family Sharing",2021-03-18,5.99,"100,000 - 200,000","1,612",Maze Theory,Another Indie
61,64,Boomerang x,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-07-08,19.99,"100,000 - 200,000","5,222",DANG!,Devolver Digital
62,65,The pathless,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-11-16,39.99,"20,000 - 50,000","9,297",Giant Squid,Annapurna Interactive
63,66,Labyrinth city: pierre the maze detective,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-06-22,11.99,"100,000 - 200,000","8,476",Darjeeling,Pixmain
64,67,Happy game,"Casual, Indie"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",2021-10-28,13.13,"100,000 - 200,000","8,512",Amanita Design,Amanita Design
65,68,Trials of fire,"RPG, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Family Sharing",2021-04-09,19.99,"200,000 - 500,000","18,087",Whatboy Games,Whatboy Games
66,69,The legend of tianding,"Adventure, RPG"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",2021-11-01,19.99,"200,000 - 500,000","13,411",Neon Doctrine, Neon Doctrine
67,70,Grime,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-08-02,14.99,"200,000 - 500,000","25,805",Clover Bite,Akupara Games
68,71,F.i.s.t.: forged in shadow torch,"Simulation, Sports"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-10-02,29.99,"500,000 - 1,000,000","35,467",TiGames,bilibili
69,72,Tails of iron,"Adventure, Indie"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",2021-09-17,24.99,"200,000 - 500,000","29,965",United Label,CI Games
70,73,Doki doki literature club plus!,"Casual, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-06-30,14.99,"500,000 - 1,000,000","66,809",Team Salvato,Serenity Forge
71,74,Age of empires iv: anniversary edition,"Fr, Strategy"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Family Sharing",2021-10-28,39.99,"2,000,000 - 5,000,000","276,384","""Worlds Edge""",Xbox Game Studios
72,75,Dark deity,"RPG, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-15,24.99,"100,000 - 200,000","19,807",Sword & Axe LLC,Freedom Games
73,76,Dreamscaper,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-08-05,24.99,"200,000 - 500,000","31,166",Freedom Games,Maple Whispering Limited
74,77,Atom rpg trudograd,"Fr, RPG"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",2021-09-13,10.99,"200,000 - 500,000","25,772",AtomTeam,AtomTeam
75,79,The last campfire,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-10-07,14.99,"200,000 - 500,000","18,756",Hello Games,Hello Games
76,80,Ruined king: a league of legends story,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-11-16,29.99,"200,000 - 500,000","60,462",Airship Syndicate,Riot Forge
77,81,Impostor factory,"Indie, RPG"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",2021-09-30,9.99,"500,000 - 1,000,000","18,727",Freebird Games,Freebird Games
78,82,Skul: the hero slayer,"Indie, in Early Access"," Single-player, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",,19.99,"1,000,000 - 2,000,000","110,092",SOUTHPAW GAMES,NEOWIZ
79,83,Time commando,"Fr, Action"," Single-player, Family Sharing",2021-10-09,5.99,"200,000 - 500,000",348,2.21,2.21
80,84,Super magbot,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",2021-06-22,2.49,"0 - 20,000","1,524",Astral Pixel,Team17
81,85,Dandy ace,"Action, Indie"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",2021-03-25,19.99,"50,000 - 100,000","6,068",Mad Mimic,NEOWIZ
82,86,The artful escape,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-09-09,19.99,"50,000 - 100,000","6,343",Beethoven and Dinosaur,Annapurna Interactive
83,87,Time loader,"Racing, Simulation"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",2021-11-03,14.99,"0 - 20,000","3,088",Flazm,META Publishing
84,88,Midnight protocol,"RPG, Strategy"," Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",2021-10-13,14.99,"20,000 - 50,000","3,636",LuGus Studios,Iceberg Interactive
85,89,Golf club nostalgia,"Indie, Sports"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-09-03,9.99,"200,000 - 500,000","2,683",Demagog Studio,Untold Tales
86,90,Ocean's heart,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-01-21,14.99,"100,000 - 200,000","12,478",Max Mraz,Nordcurrent Labs
87,91,Lego builder's journey,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-22,19.99,"200,000 - 500,000","17,258",Light Brick Studio,LEGO® Games
88,92,Shin megami tensei iii nocturne hd remaster,"Fr, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-05-20,49.99,"100,000 - 200,000","23,829",ATLUS,SEGA
89,93,Super robot wars 30,"Simulation, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-10-27,59.99,"200,000 - 500,000","37,370","B.B.STUDIO CO.,LTD.",Bandai Namco Entertainment
90,94,Toem: a photo adventure,"Casual, Indie"," Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Family Sharing",2021-09-17,19.99,"100,000 - 200,000","9,336",Something We Made,popagenda
91,95,Hell let loose,"Strategy, in Early Access"," Multi-player, PvP, Online PvP, Steam Achievements, Partial Controller Support, Family Sharing",,29.24,"2,000,000 - 5,000,000","316,213",Team17,Team17
92,96,Jupiter hell,"Strategy, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,24.99,"50,000 - 100,000","14,620",ChaosForge,Hyperstrange
93,97,Grow: song of the evertree,"Adventure, Casual"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-11-16,24.99,"100,000 - 200,000","17,936",Prideful Sloth,505 Games
94,98,Roguebook,"RPG, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-17,7.49,"200,000 - 500,000","15,127",Abrakam Entertainment SA,Nacon
95,99,Let's build a zoo,"Simulation, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-11-05,19.99,"200,000 - 500,000","21,120",Springloaded,No More Robots
96,100,Wytchwood,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",2021-12-09,19.99,"200,000 - 500,000","16,656",Alientrap,Alientrap
97,101,Lost in random,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards",2021-09-10,29.99,"200,000 - 500,000","19,625",Thunderful,Electronic Arts
98,102,Scarlet nexus,"Adventure, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-24,59.99,"500,000 - 1,000,000","112,714",BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment
99,103,Gtfo,"Action, in Early Access"," Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",,39.99,"1,000,000 - 2,000,000","290,279",10 Chambers,10 Chambers
100,104,Sarawak,"Adventure, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-01-27,4.99,"20,000 - 50,000",198,Cowleyfornia Studios,Cowleyfornia Studios 
101,105,Song in the smoke,"Adventure, Simulation"," Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Cloud, Family Sharing",2021-12-16,29.99,"0 - 20,000","1,155",17-BIT,17-BIT
102,106,Clan o'conall and the crown of the stag,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-04-27,7.99,"20,000 - 50,000",970,HitGrab,HitGrab
103,107,Sunblaze,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Captions available, Family Sharing",2021-06-03,14.99,"0 - 20,000","1,543",Bonus Stage Publishing,Leoful
104,108,Altdeus: beyond chronos,"Fr, Adventure"," Single-player, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing",2021-02-18,29.99,"20,000 - 50,000","2,325",MyDearest Inc.,MyDearest Inc.
105,109,Sumire,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-05-26,5.99,"20,000 - 50,000","2,518",GameTomo Team,GameTomo Co.
106,110,Imagine earth,"Strategy, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play on TV, Family Sharing",,24.99,"50,000 - 100,000",0,Serious Bros.,Serious Bros.
107,111,Unbound: worlds apart,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",2021-07-28,19.99,"50,000 - 100,000","8,316",Alien Pixel Studios,Alien Pixel Studios
108,112,Aeon drive,"Adventure, Indie"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Leaderboards, Remote Play Together",2021-09-30,14.99,"0 - 20,000","2,039",2Awesome Studio,CRITICAL REFLEX
109,113,Mayhem brawler,"Action, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",2021-08-19,19.99,"20,000 - 50,000","3,591",Hero Concept,Hero Concept
110,114,The big con,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",2021-08-31,14.99,"0 - 20,000","2,124",Mighty Yell,Skybound Games
111,115,Olija,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",2021-01-28,14.99,"50,000 - 100,000","5,187",Thomas Olsson,Devolver Digital
112,116,Genesis noir,"Fr, Adventure"," Single-player, Steam Achievements, Family Sharing",2021-03-26,14.99,"200,000 - 500,000","10,880",Feral Cat Den,Fellow Traveller
113,117,Sherlock holmes chapter one,"Action, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-11-15,44.99,"200,000 - 500,000","33,436",Frogwares,Frogwares
114,118,Back 4 blood,"Fr, Action"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, HDR available, Family Sharing",2021-10-12,59.99,"1,000,000 - 2,000,000","238,199",Turtle Rock Studios,Warner Bros. Games
115,119,Omno,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-07-28,5.69,"200,000 - 500,000","11,770",Future Friends Games,StudioInkyfox
116,120,After the fall,"Action, Adventure"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing",2021-12-09,14.99,"50,000 - 100,000","27,302",Vertigo Games,Vertigo Games
117,121,Eldest souls,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-07-29,19.99,"100,000 - 200,000","22,906",United Label,CI Games
118,122,Chorus,"Action, Adventure"," Single-player, Full controller support, Family Sharing",2021-12-03,6.24,"200,000 - 500,000","31,217",Deep Silver Fishlabs,Deep Silver
119,123,Curious expedition 2,"Strategy, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,6.99,"500,000 - 1,000,000","20,148",Maschinen-Mensch,Thunderful Publishing
120,124,Legend of keepers: career of a dungeon manager,"Strategy, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",,19.99,"100,000 - 200,000","37,795",Goblinz Studio,Goblinz Publishing
