,Unnamed: 0,Name,Genre,Category,Release_Date,Price (in $),Owners,Followers,Developers,Publishers
1752,2214,Little sparks,"Casual, Strategy"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-12-23,3.99,"0 - 20,000",12,Offbit Studios LLC,Offbit Studios LLC
1753,2215,Red ops arcade,"RPG, Strategy"," Single-player, Family Sharing",2021-12-29,2.99,"20,000 - 50,000",19,RAIS Z.,RAIDOKS GAMES
1754,2216,Devil should die,"Action, Adventure"," Single-player, Steam Achievements, Family Sharing",2021-12-27,1.99,"0 - 20,000",18,RABIE HADDAD,RABIE MOUNTHER TURKI HADDAD
1755,2217,活体三国,"Strategy, Early Access"," Single-player, Family Sharing",2021-12-30,8.99,"0 - 20,000",64,嗨呻啵咯,嗨呻啵咯
1756,2218,Hell bound monsters,"Simulation, Strategy"," Single-player, Family Sharing",2021-12-29,1.99,"0 - 20,000",29,Krisztian Blaha,HAND UP DIGITAL LLC
1757,2219,Psi studios' anima,"Action, Adventure"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-12-30,19.99,"0 - 20,000",30,Jean Pierre Arteaga,Psi Studios
1758,2220,Hyperventila,"Early Access, in Early Access"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Family Sharing",,8.99,"0 - 20,000",163,Tymen Muller,VITRIOL 3D Games
1759,2221,Captains & dungeons,"Indie, RPG"," Single-player, Partial Controller Support, Family Sharing",2021-02-14,4.99,"0 - 20,000",45,Liprix Games,Liprix Games
1760,2222,Fly the cloud,"Indie, Racing"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Leaderboards, Family Sharing",2021-01-04,0.99,"20,000 - 50,000",22,J.S.Void,J.S.Void
1761,2223,Vr wonderland 2：adventures in a fruit boat,"Fr, Casual"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-01-07,3.99,"0 - 20,000",30,William at Oxford,William at Oxford
1762,2224,Hollow ghost,"Casual, Indie"," Single-player, Family Sharing",2021-03-12,0.83,"0 - 20,000",17,Joma Rage,Joma Rage
1763,2226,Deep enigma,"Adventure, Indie"," Single-player, Full controller support, Family Sharing",2021-01-28,4.99,"0 - 20,000",84,1bit Games,1bit Games
1764,2227,Escape prison,"Action, Indie", Family Sharing,2021-01-28,1.99,"0 - 20,000",15,indiegames3000,indiegames3000
1765,2228,Molecule builder,"Simulation, Education"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-01-29,14.99,"0 - 20,000",77,Xennial Digital,Xennial Digital
1766,2229,The build and race hotrod game,"Racing, Simulation"," Single-player, Remote Play Together, Family Sharing",2021-02-05,8.99,"0 - 20,000",68,oivind edvardsen,oivind edvardsen
1767,2230,Ritum bitum,"Casual, Indie"," Single-player, Family Sharing",2021-05-11,9.99,"0 - 20,000",22,Askar Lutfrakhmanov,Askar Lutfrakhmanov
1768,2231,两体,"Massively Multiplayer, Early Access"," Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing",2021-03-15,5.99,"20,000 - 50,000",48,魔书科技,魔书科技
1769,2233,Vr boxing master,"Casual, Sports"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-03-12,2.99,"0 - 20,000",31,William at Oxford,William at Oxford
1770,2234,Isdds - drone vr simulator,"Fr, Simulation"," Single-player, VR Only, Partial Controller Support, Family Sharing",2021-03-17,34.99,"0 - 20,000",55,Doublebears,Doublebears
1771,2235,Faction wars,"Fr, Strategy"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Family Sharing",2021-03-23,1.99,"0 - 20,000",20,Ginger Bear Games,Ginger Bear Games
1772,2236,Fyrexr festival,"Casual, Massively Multiplayer"," Multi-player, MMO, Cross-Platform Multiplayer, Tracked Controller Support, VR Supported, Family Sharing",2021-06-17,9.99,"0 - 20,000",21,VRROOM,The I love Company
1773,2237,Welcome to graystone,"Adventure, Indie"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing",2021-07-20,0.99,"0 - 20,000",81,Sue Bean Studios,LLC
1774,2238,Virtual world primus,"Simulation, Early Access"," Single-player, Family Sharing",2021-08-26,19.99,"0 - 20,000",58,Primus,Primus
