Name,Genre,Category,Release_Date,Price (in $),Followers,Developers,Publishers,Ownership_Midpoint
Tetris effect: connected,"Casual, Indie"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",2021-08-17,39.99,"14,663",Stage Games,Enhance,350000.0
Chicory: a colorful tale,"Indie, RPG"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-06-10,19.99,"10,504",A Shell in the Pit,Finji,150000.0
Opus: echo of starsong - full bloom edition,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Family Sharing",2021-08-31,24.99,"27,588",SIGONO INC.,SIGONO INC.,350000.0
Psychonauts 2,"Action, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-08-24,59.99,"37,393",Double Fine Productions,Xbox Game Studios,350000.0
It takes two,"Action, Adventure"," Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together",2021-03-25,39.99,"442,068",Hazelight,Electronic Arts,7500000.0
Ragnarock,"Casual, Indie"," Single-player, Multi-player, PvP, Online PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Supported, In-App Purchases, Partial Controller Support, Remote Play Together, Family Sharing",2021-07-15,24.99,"8,354",WanadevStudio,WanadevStudio,150000.0
Mini motorways,"Simulation, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",2021-07-20,8.49,"34,926",Dinosaur Polo Club,Dinosaur Polo Club,750000.0
Deathloop,"Fr, Action"," Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, HDR available, Family Sharing",2021-09-13,59.99,"87,743",Arkane Studios,Bethesda Softworks,1500000.0
Blind drive,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",2021-03-10,9.99,"1,102",Lo-Fi People,Lo-Fi People,10000.0
The last friend,"Indie, Strategy"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing",2021-09-30,14.99,"1,142",Ludus Games,Skystone Games,10000.0
Cook-out,"Indie, Simulation"," Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Only, Steam Cloud, Steam Leaderboards, Family Sharing",2021-04-20,19.99,947,Resolution Games,Resolution Games,10000.0
Lacuna – a sci-fi noir adventure,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing",2021-05-20,15.99,"7,729",WhisperGames,Mayflower Entertainment,750000.0
Wildermyth,"Strategy, in Early Access"," Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing",,24.99,"82,718",Worldwalker Games LLC,WhisperGames,750000.0
Ender lilies: quietus of the knights,"RPG, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",,24.99,"100,422",Adglobe,Binary Haze Interactive,750000.0
Nioh 2 – the complete edition,"Action, RPG"," Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, HDR available, Family Sharing",2021-02-05,49.99,"98,334",KOEI TECMO GAMES CO.,LTD.,1500000.0
Mass effect legendary edition,"Action, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV",2021-05-14,59.99,"119,031",BioWare,Electronic Arts,1500000.0
Huntdown,"Action, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",2021-05-12,19.99,"14,559",Easy Trigger Games,Coffee Stain Publishing,150000.0
The forgotten city,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-07-28,24.99,"37,858",Modern Storyteller,Dear Villagers,350000.0
Death's door,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-07-20,19.99,"62,188",Acid Nerve,Devolver Digital,750000.0
Guilty gear -strive-,"Fr, Action"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-06-11,19.99,"93,580",Arc System Works,Arc System Works,1500000.0
Atelier ryza 2: lost legends & the secret fairy,"Fr, RPG"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing",2021-01-25,59.99,"46,027",KOEI TECMO GAMES CO.,LTD.,350000.0
Heavenly bodies,"Indie, Simulation"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",2021-12-07,19.99,"15,903",2pt Interactive,2pt Interactive,350000.0
Griftlands,"Indie, in Early Access"," Single-player, Steam Workshop, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing",,19.99,"57,604",Klei Entertainment,Klei Entertainment,750000.0
Tales of arise,"Action, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-09-09,39.99,"141,289",Bandai Namco Studios Inc.,Bandai Namco Entertainment,3500000.0
Elechead,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-10-14,9.99,"1,470",Tsuyomi,NamaTakahashi,75000.0
Humanity lost,"Adventure, RPG"," Single-player, Family Sharing",2021-04-26,3.99,786,Crafty Game Lab,Crafty Game Lab,10000.0
Sam & max: beyond time and space,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",2021-12-08,19.99,"3,381",Skunkape Games,Skunkape Games,10000.0
Astalon: tears of the earth,"Action, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-03,9.99,"4,500",LABS Works,DANGEN Entertainment,35000.0
Fuga: melodies of steel,"Simulation, Strategy"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",2021-07-28,39.99,"10,879",CyberConnect2,CyberConnect2,35000.0
The darkside detective: a fumble in the dark,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-04-15,8.24,"5,870",Spooky Doorway,Akupara Games,75000.0
Unsighted,"Indie, RPG"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",2021-09-30,19.99,"12,745",Studio Pixel Punk,Humble Games,75000.0
Sunlight,"Adventure, Indie"," Single-player, Partial Controller Support, Family Sharing",2021-01-14,3.99,"1,004",Krillbite Studio,Krillbite Studio,10000.0
Papetura,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",2021-05-07,11.99,"6,494",Petums,Petums,35000.0
Demeo,"RPG, Strategy"," Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Family Sharing",2021-05-06,39.99,"12,902",Resolution Games,Resolution Games,150000.0
Shadow tactics: aiko's choice,"Indie, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",2021-12-06,4.99,"15,824",Mimimi Games,Daedalic Entertainment,350000.0
The great ace attorney chronicles,"Fr, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-07-26,15.99,"28,113",CAPCOM Co.,Ltd.,150000.0
Everhood,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-03-04,9.99,"13,225",Foreign Gnomes,Surefire.Games,350000.0
The riftbreaker,"Simulation, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on TV, Family Sharing",2021-10-14,29.99,"91,706",EXOR Studios,Surefire.Games,1500000.0
Unpacking,"Indie, Simulation"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-11-01,9.99,"65,233",Witch Beam,Humble Games,750000.0
Pathfinder: wrath of the righteous - enhanced edition,"RPG, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-09-02,39.99,"113,310",META Publishing,Owlcat Games,1500000.0
Little nightmares ii,"Fr, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",2021-02-10,13.99,"150,661",Tarsier Studios,BANDAI NAMCO Entertainment,1500000.0
Resident evil village,"Fr, Action"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",2021-05-06,15.99,"185,172",CAPCOM Co.,Ltd.,3500000.0
Unmetal,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-09-28,19.99,"11,709",@unepic_fran,Versus Evil,150000.0
The life and suffering of sir brante,"Simulation, Strategy"," Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",2021-03-04,19.99,"18,337",Sever,101XP,350000.0
Tainted grail: conquest,"RPG, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",,19.99,"40,292",Questline,Awaken Realms,350000.0
Gloomhaven,"Strategy, in Early Access"," Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",,34.99,"88,375",Saber Interactive,Twin Sails Interactive,750000.0
Eastward,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-09-16,24.99,"107,089",Pixpil,Chucklefish,750000.0
Monster hunter stories 2: wings of ruin,"Adventure, RPG"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-07-08,29.99,"67,828",CAPCOM Co.,Ltd.,3500000.0
Clone drone in the danger zone,"Action, Indie"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Captions available, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",2021-07-27,19.99,"32,617",Doborog Games,Doborog Games,750000.0
Star drift evolution,"Fr, Racing"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",2021-08-27,14.99,972,Catze,Catze,35000.0
Cyber shadow,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-01-26,19.99,"9,536","Aarne ""MekaSkull"" Hunziker",Yacht Club Games,350000.0
Kaze and the wild masks,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-03-26,14.99,"5,616",PixelHive,SOEDESCO,10000.0
The ramp,"Simulation, Sports"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-08-03,5.99,"2,850",Paul Schnepf,hyperparadise,75000.0
Svoboda 1945: liberation,"Adventure, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-08-03,15.99,"1,706",Charles Games,Charles Games,35000.0
Rainbow billy: the curse of the leviathan,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",2021-10-05,19.99,"1,466",ManaVoid Entertainment,Skybound Games,10000.0
Silicon dreams | cyberpunk interrogation,"Indie, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-04-20,16.99,"1,926",Clockwork Bird,Clockwork Bird,75000.0
Bonfire peaks,"Fr, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-09-30,19.99,"1,516",Corey Martin,Draknek,35000.0
Ynglet,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-06-05,4.99,"1,087",Nifflas,Triple Topping,35000.0
Overboard!,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-06-02,14.99,"3,362",inkle Ltd,inkle Ltd,75000.0
Flynn: son of crimson,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-09-15,19.99,"7,415",Studio Thunderhorse,Humble Games,35000.0
Doctor who: the lonely assassins,"Casual, Indie"," Single-player, Family Sharing",2021-03-18,5.99,"1,612",Maze Theory,Another Indie,150000.0
Boomerang x,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-07-08,19.99,"5,222",DANG!,Devolver Digital,150000.0
The pathless,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-11-16,39.99,"9,297",Giant Squid,Annapurna Interactive,35000.0
Labyrinth city: pierre the maze detective,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-06-22,11.99,"8,476",Darjeeling,Pixmain,150000.0
Happy game,"Casual, Indie"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",2021-10-28,13.13,"8,512",Amanita Design,Amanita Design,150000.0
Trials of fire,"RPG, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Family Sharing",2021-04-09,19.99,"18,087",Whatboy Games,Whatboy Games,350000.0
The legend of tianding,"Adventure, RPG"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",2021-11-01,19.99,"13,411",Neon Doctrine, Neon Doctrine,350000.0
Grime,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-08-02,14.99,"25,805",Clover Bite,Akupara Games,350000.0
F.i.s.t.: forged in shadow torch,"Simulation, Sports"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-10-02,29.99,"35,467",TiGames,bilibili,750000.0
Tails of iron,"Adventure, Indie"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",2021-09-17,24.99,"29,965",United Label,CI Games,350000.0
Doki doki literature club plus!,"Casual, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-06-30,14.99,"66,809",Team Salvato,Serenity Forge,750000.0
Age of empires iv: anniversary edition,"Fr, Strategy"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Family Sharing",2021-10-28,39.99,"276,384","""Worlds Edge""",Xbox Game Studios,3500000.0
Dark deity,"RPG, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-15,24.99,"19,807",Sword & Axe LLC,Freedom Games,150000.0
Dreamscaper,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-08-05,24.99,"31,166",Freedom Games,Maple Whispering Limited,350000.0
Atom rpg trudograd,"Fr, RPG"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",2021-09-13,10.99,"25,772",AtomTeam,AtomTeam,350000.0
The last campfire,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-10-07,14.99,"18,756",Hello Games,Hello Games,350000.0
Ruined king: a league of legends story,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-11-16,29.99,"60,462",Airship Syndicate,Riot Forge,350000.0
Impostor factory,"Indie, RPG"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",2021-09-30,9.99,"18,727",Freebird Games,Freebird Games,750000.0
Skul: the hero slayer,"Indie, in Early Access"," Single-player, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",,19.99,"110,092",SOUTHPAW GAMES,NEOWIZ,1500000.0
Time commando,"Fr, Action"," Single-player, Family Sharing",2021-10-09,5.99,348,2.21,2.21,350000.0
Super magbot,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",2021-06-22,2.49,"1,524",Astral Pixel,Team17,10000.0
Dandy ace,"Action, Indie"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",2021-03-25,19.99,"6,068",Mad Mimic,NEOWIZ,75000.0
The artful escape,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-09-09,19.99,"6,343",Beethoven and Dinosaur,Annapurna Interactive,75000.0
Time loader,"Racing, Simulation"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",2021-11-03,14.99,"3,088",Flazm,META Publishing,10000.0
Midnight protocol,"RPG, Strategy"," Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",2021-10-13,14.99,"3,636",LuGus Studios,Iceberg Interactive,35000.0
Golf club nostalgia,"Indie, Sports"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-09-03,9.99,"2,683",Demagog Studio,Untold Tales,350000.0
Ocean's heart,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-01-21,14.99,"12,478",Max Mraz,Nordcurrent Labs,150000.0
Lego builder's journey,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-22,19.99,"17,258",Light Brick Studio,LEGO® Games,350000.0
Shin megami tensei iii nocturne hd remaster,"Fr, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-05-20,49.99,"23,829",ATLUS,SEGA,150000.0
Super robot wars 30,"Simulation, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-10-27,59.99,"37,370","B.B.STUDIO CO.,LTD.",Bandai Namco Entertainment,350000.0
Toem: a photo adventure,"Casual, Indie"," Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Family Sharing",2021-09-17,19.99,"9,336",Something We Made,popagenda,150000.0
Hell let loose,"Strategy, in Early Access"," Multi-player, PvP, Online PvP, Steam Achievements, Partial Controller Support, Family Sharing",,29.24,"316,213",Team17,Team17,3500000.0
Jupiter hell,"Strategy, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,24.99,"14,620",ChaosForge,Hyperstrange,75000.0
Grow: song of the evertree,"Adventure, Casual"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-11-16,24.99,"17,936",Prideful Sloth,505 Games,150000.0
Roguebook,"RPG, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-17,7.49,"15,127",Abrakam Entertainment SA,Nacon,350000.0
Let's build a zoo,"Simulation, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-11-05,19.99,"21,120",Springloaded,No More Robots,350000.0
Wytchwood,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",2021-12-09,19.99,"16,656",Alientrap,Alientrap,350000.0
Lost in random,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards",2021-09-10,29.99,"19,625",Thunderful,Electronic Arts,350000.0
Scarlet nexus,"Adventure, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-24,59.99,"112,714",BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,750000.0
Gtfo,"Action, in Early Access"," Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",,39.99,"290,279",10 Chambers,10 Chambers,1500000.0
Sarawak,"Adventure, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-01-27,4.99,198,Cowleyfornia Studios,Cowleyfornia Studios ,35000.0
Song in the smoke,"Adventure, Simulation"," Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Cloud, Family Sharing",2021-12-16,29.99,"1,155",17-BIT,17-BIT,10000.0
Clan o'conall and the crown of the stag,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-04-27,7.99,970,HitGrab,HitGrab,35000.0
Sunblaze,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Captions available, Family Sharing",2021-06-03,14.99,"1,543",Bonus Stage Publishing,Leoful,10000.0
Altdeus: beyond chronos,"Fr, Adventure"," Single-player, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing",2021-02-18,29.99,"2,325",MyDearest Inc.,MyDearest Inc.,35000.0
Sumire,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-05-26,5.99,"2,518",GameTomo Team,GameTomo Co.,35000.0
Imagine earth,"Strategy, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play on TV, Family Sharing",,24.99,0,Serious Bros.,Serious Bros.,75000.0
Unbound: worlds apart,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",2021-07-28,19.99,"8,316",Alien Pixel Studios,Alien Pixel Studios,75000.0
Aeon drive,"Adventure, Indie"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Leaderboards, Remote Play Together",2021-09-30,14.99,"2,039",2Awesome Studio,CRITICAL REFLEX,10000.0
Mayhem brawler,"Action, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",2021-08-19,19.99,"3,591",Hero Concept,Hero Concept,35000.0
The big con,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",2021-08-31,14.99,"2,124",Mighty Yell,Skybound Games,10000.0
Olija,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",2021-01-28,14.99,"5,187",Thomas Olsson,Devolver Digital,75000.0
Genesis noir,"Fr, Adventure"," Single-player, Steam Achievements, Family Sharing",2021-03-26,14.99,"10,880",Feral Cat Den,Fellow Traveller,350000.0
Sherlock holmes chapter one,"Action, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-11-15,44.99,"33,436",Frogwares,Frogwares,350000.0
Back 4 blood,"Fr, Action"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, HDR available, Family Sharing",2021-10-12,59.99,"238,199",Turtle Rock Studios,Warner Bros. Games,1500000.0
Omno,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-07-28,5.69,"11,770",Future Friends Games,StudioInkyfox,350000.0
After the fall,"Action, Adventure"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing",2021-12-09,14.99,"27,302",Vertigo Games,Vertigo Games,75000.0
Eldest souls,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-07-29,19.99,"22,906",United Label,CI Games,150000.0
Chorus,"Action, Adventure"," Single-player, Full controller support, Family Sharing",2021-12-03,6.24,"31,217",Deep Silver Fishlabs,Deep Silver,350000.0
Curious expedition 2,"Strategy, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,6.99,"20,148",Maschinen-Mensch,Thunderful Publishing,750000.0
Legend of keepers: career of a dungeon manager,"Strategy, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",,19.99,"37,795",Goblinz Studio,Goblinz Publishing,150000.0
Sable,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-09-23,24.99,"46,770",Shedworks,Raw Fury,350000.0
Journey to the savage planet,"Action, Adventure"," Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Family Sharing",2021-01-28,29.99,"34,570",Typhoon,505 Games,750000.0
Twelve minutes,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-08-19,24.99,"46,803",Luis Antonio,Annapurna Interactive,750000.0
Persona 5 strikers,"Action, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",2021-02-22,59.99,"72,087",ATLUS,SEGA,750000.0
Jurassic world evolution 2,"Simulation, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats, HDR available, Family Sharing",2021-11-09,59.99,"108,368",Frontier Developments,Frontier Developments,750000.0
Bonkies,"Casual, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2018-09-10,14.99,335,Studio Gauntlet,Crunching Koalas,150000.0
Wraith: the oblivion - afterlife,"Fr, Adventure"," Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Cloud, Family Sharing",2021-05-25,19.99,"2,008",Fast Travel Games,Fast Travel Games,10000.0
Room to grow,"Indie, Strategy"," Single-player, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",2021-02-25,9.99,361,Mischka Kamener,Mischka Kamener,10000.0
Bloodroots,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",2021-03-12,19.99,"4,029",Paper Cult,Paper Cult,10000.0
Tinytopia,"Simulation, Strategy"," Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",2021-08-30,9.99,"3,785",MeNic Games,Mastiff,35000.0
Arcadia fallen,"RPG, Simulation"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Family Sharing",2021-11-17,11.24,"2,365",Galdra Studios,Galdra Studios,10000.0
The wild at heart,"Indie, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-05-19,24.99,"6,972",Moonlight Kids,Humble Games,35000.0
