Name,Genre,Category,Release_Date,Price (in $),Followers,Developers,Publishers,Ownership_Midpoint
Madness robots,"Indie, Strategy"," Single-player, Steam Achievements, Family Sharing",2021-02-04,0.99,19,Roosevelt Daflon,Roosevelt Daflon,10000.0
Paper jam!,"Fr, Casual"," Single-player, Tracked Controller Support, VR Only, Steam Cloud, Family Sharing",2021-04-01,1.99,23,4 Fun Studio,Tea Monster Games,10000.0
Appease the spider,"Action, Indie"," Single-player, Family Sharing",2021-02-20,0.99,15,Chris Antoni,Chris Antoni,10000.0
Neonverse defenders,"Strategy, Early Access"," Single-player, Family Sharing",2021-02-16,14.99,33,PNYX GAMES,PNYX GAMES,10000.0
Kosmonavtes: academy escape,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-02-22,3.99,42,LKMAD,LKMAD,35000.0
Nano fighter anti disease,"Action, Simulation"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-03-22,2.99,69,LBR games,LBR games,10000.0
Mexican train dominoes gold,"Simulation, Strategy"," Single-player, Family Sharing",2021-03-03,3.99,29,Glowing Eye Games Ltd,Glowing Eye Games Ltd,10000.0
Pangea,"RPG, Strategy"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Remote Play Together, Family Sharing",2021-11-17,6.99,72,Andrew Bykov,Hommer Games,35000.0
Unlikely heroes,"Indie, RPG"," Single-player, Partial Controller Support, Family Sharing",2021-03-08,6.99,61,Valkyria Games,Valkyria Games,10000.0
Cursed house 9 - match 3 puzzle,"Casual, Indie"," Single-player, Family Sharing",2021-03-04,9.99,27,LGT SIA,LGT SIA,10000.0
Karakuri-kun: a japanese tale,"Indie, RPG"," Single-player, Partial Controller Support, Family Sharing",2021-03-18,1.99,63,Angel Star Studios,Angel Star Studios,10000.0
Vhaip,"Action, Adventure"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing",2021-04-28,5.99,91,Blast,Raviole Studio,10000.0
