,Name,developers_publishers,genre,category,release_date,price,owners,followers,playtime_total
1690,['terraform inc'],"['FuzzyCube', 'FuzzyCube']","['Simulation', 'Strategy']"," Single-player, Steam Cloud, Family Sharing","Sep 10, 2021",$9.99,"0 .. 20,000",27,
1691,['enf novels: dress code'],"['ENF Novels', 'ENF Novels']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Family Sharing","Sep 16, 2021",$0.99,"0 .. 20,000",868,
1692,['from paris with love: passion with view'],"['NSFW18 Games', 'NSFW18 Games']","['Fr', 'Casual']"," Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Sep 10, 2021",$4.99,"0 .. 20,000","2,174",
1693,['masochistic elves from another world'],"['Miel', 'Cherry Kiss Games']","['Fr', 'Casual']"," Single-player, Steam Achievements, Full controller support, Family Sharing","Sep 10, 2021",$5.99,"0 .. 20,000","1,964",05:36 (average) 05:36 (median)
1694,['water girls'],"['Dharker Studios', 'Maid4Fun']","['Casual', 'Indie']"," Single-player, Full controller support, Family Sharing","Sep 10, 2021",$3.99,"0 .. 20,000",342,
1695,"[""the married manager's scandalous services - the pleasures of the night shift""]","['Appetite', 'Tensei Games']","['Fr', 'Adventure']"," Single-player, Family Sharing","Sep 18, 2021",$13.99,"0 .. 20,000",533,
1696,['hot swap: cyberlust'],"['Lieon Games', 'Sinnera']","['Casual', 'Indie']"," Single-player, Steam Achievements, Family Sharing","Sep 11, 2021",$1.99,"0 .. 20,000",106,
1697,['winter wonderland'],"['Dharker Studios', 'Maid4Fun']","['Casual', 'Indie']"," Single-player, Family Sharing","Oct 10, 2021",$6.99,"0 .. 20,000",361,
1698,['brambles in the mist'],"['Noxurtica', 'Noxurtica']","['Indie', 'Strategy']"," Single-player, Family Sharing","Sep 12, 2021",$9.99,"0 .. 20,000",95,
1699,['g-modeアーカイブス39 フライハイトクラウディア4 永遠の絆'],"['G-MODE', 'G-MODE']","['Fr', 'RPG']"," Single-player, Steam Cloud, Family Sharing","Sep 23, 2021",$7.99,"0 .. 20,000",62,
1700,['trip saber'],"['Eirtep', 'Eirtep']","['Indie', 'Simulation']"," Single-player, Tracked Controller Support, VR Only, Family Sharing","Sep 14, 2021",$3.99,"0 .. 20,000",14,
1701,['paradox in the mirror'],"['WarauKeshigomu', 'WarauKeshigomu']","['Fr', 'Action']"," Single-player, Full controller support","Sep 15, 2021",$9.99,"0 .. 20,000",22,
1702,['animal cafe'],"['Dharker Studios', 'Maid4Fun']","['Casual', 'Indie']"," Single-player, Steam Achievements, Family Sharing","Oct 1, 2021",$4.99,"0 .. 20,000",396,
1703,"[""circe's revenge""]","['Sicco', 'TF Runner']","['Casual', 'RPG']"," Single-player, Steam Achievements, Steam Cloud, Family Sharing","Sep 30, 2021",$7.99,"0 .. 20,000",166,
1704,['my stepmom is a futanari 2'],"['owlyboi', 'owlyboi']","['Fr', 'Adventure']"," Single-player, Family Sharing","Sep 19, 2021",$0.66,"0 .. 20,000",468,
1705,['virtual game'],"['Honey Studio', 'Honey Studio']","['Indie', 'RPG']"," Single-player, Family Sharing","Sep 21, 2021",$9.99,"0 .. 20,000",13,
1706,['jelly party: fire'],"['Jelly Studio', 'Jelly Studio']","['Indie', 'Sports']"," Single-player, Family Sharing","Oct 16, 2021",$1.99,"0 .. 20,000",68,
1707,['synthwaifu: neon space fighter'],"['Boom Team', 'Boom Team']","['RPG', 'Simulation']"," Single-player, Steam Achievements, Family Sharing","Sep 17, 2021",$0.99,"0 .. 20,000",67,
1708,['sweet desire: hentai puzzle'],"['SweetGamez', 'SweetGamez']","['Indie', 'Simulation']"," Single-player, Family Sharing","Oct 22, 2021",$2.99,"0 .. 20,000",124,
1709,['play me'],"['Gazzing Studios', 'Gazzing Studios']","['Simulation', 'Early Access']"," Single-player, Family Sharing","Oct 14, 2021",$9.99,"0 .. 20,000","1,215",
1710,['ball bounce maze'],"['Ball Bounce Partnership', 'Ball Bounce Partnership']","['Casual', 'Indie']"," Single-player, Family Sharing","Sep 15, 2021",$0.99,"0 .. 20,000",10,
1711,['klondike re-imagined'],"['Mike Edwards', 'Mike Edwards']","['Casual', 'Strategy']"," Single-player, Family Sharing","Sep 16, 2021",$1.99,"0 .. 20,000",15,
1712,['escape from docy'],"['Escape', 'Escape']","['Adventure', 'Indie']"," Single-player, Family Sharing","Sep 16, 2021",$0.99,"0 .. 20,000",10,
1713,['hero zex'],"['ななっしー', 'WASABI entertainment']","['Fr', 'RPG']"," Single-player, Full controller support, Steam Cloud","Dec 3, 2021",$14.99,"0 .. 20,000",803,
