,Name,developers_publishers,genre,category,release_date,price,owners,followers,playtime_total
0,['tetris effect: connected'],"['Stage Games', 'Enhance']","['Casual', 'Indie']"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing","Aug 17, 2021",$39.99,"200,000 .. 500,000","14,663",23:15 (average) 29:33 (median)
1,['chicory: a colorful tale'],"['A Shell in the Pit', 'Finji']","['Indie', 'RPG']"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing","Jun 10, 2021",$19.99,"100,000 .. 200,000","10,504",03:55 (average) 07:31 (median)
2,['opus: echo of starsong - full bloom edition'],"['SIGONO INC.', 'SIGONO INC.']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Family Sharing","Aug 31, 2021",$24.99,"200,000 .. 500,000","27,588",09:36 (average) 08:20 (median)
3,['psychonauts 2'],"['Double Fine Productions', 'Xbox Game Studios']","['Action', 'Adventure']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing","Aug 24, 2021",$59.99,"200,000 .. 500,000","37,393",04:35 (average) 05:37 (median)
4,['it takes two'],"['Hazelight', 'Electronic Arts']","['Action', 'Adventure']"," Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together","Mar 25, 2021",$39.99,"5,000,000 .. 10,000,000","442,068",16:26 (average) 13:47 (median)
5,['ragnarock'],"['WanadevStudio', 'WanadevStudio']","['Casual', 'Indie']"," Single-player, Multi-player, PvP, Online PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Supported, In-App Purchases, Partial Controller Support, Remote Play Together, Family Sharing","Jul 15, 2021",$24.99,"100,000 .. 200,000","8,354",01:50 (average) 02:19 (median)
6,['mini motorways'],"['Dinosaur Polo Club', 'Dinosaur Polo Club']","['Simulation', 'Strategy']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing","Jul 20, 2021",$8.49,"500,000 .. 1,000,000","34,926",10:24 (average) 03:58 (median)
7,['deathloop'],"['Arkane Studios', 'Bethesda Softworks']","['Fr', 'Action']"," Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, HDR available, Family Sharing","Sep 13, 2021",$59.99,"1,000,000 .. 2,000,000","87,743",19:59 (average) 17:27 (median)
8,['blind drive'],"['Lo-Fi People', 'Lo-Fi People']","['Action', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","Mar 10, 2021",$9.99,"0 .. 20,000","1,102",01:26 (average) 01:26 (median)
9,['the last friend'],"['Ludus Games', 'Skystone Games']","['Indie', 'Strategy']"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing","Sep 30, 2021",$14.99,"0 .. 20,000","1,142",
10,['cook-out'],"['Resolution Games', 'Resolution Games']","['Indie', 'Simulation']"," Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Only, Steam Cloud, Steam Leaderboards, Family Sharing","Apr 20, 2021",$19.99,"0 .. 20,000",947,01:50 (average) 03:22 (median)
11,['lacuna – a sci-fi noir adventure'],"['WhisperGames', 'Mayflower Entertainment']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing","May 20, 2021",$15.99,"500,000 .. 1,000,000","7,729",03:41 (average) 03:12 (median)
12,['wildermyth'],"['Worldwalker Games LLC', 'WhisperGames']","['Strategy', 'in Early Access']"," Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing","Jun 15, 2021 (previously",$24.99,"500,000 .. 1,000,000","82,718",11:44 (average) 05:57 (median)
13,['ender lilies: quietus of the knights'],"['Adglobe', 'Binary Haze Interactive']","['RPG', 'in Early Access']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Jun 21, 2021 (previously",$24.99,"500,000 .. 1,000,000","100,422",07:36 (average) 08:32 (median)
14,['f1 2021'],"['Codemasters', 'Electronic Arts']","['Simulation', 'Sports']"," Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Workshop, In-App Purchases, Steam Cloud","Jul 15, 2021",,"1,000,000 .. 2,000,000","42,154",106:41 (average) 48:19 (median)
15,['nioh 2 – the complete edition'],"['KOEI TECMO GAMES CO., LTD.', 'KOEI TECMO GAMES CO., LTD.']","['Action', 'RPG']"," Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, HDR available, Family Sharing","Feb 5, 2021",$49.99,"1,000,000 .. 2,000,000","98,334",95:35 (average) 29:18 (median)
16,['mass effect legendary edition'],"['BioWare', 'Electronic Arts']","['Action', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV","May 14, 2021",$59.99,"1,000,000 .. 2,000,000","119,031",56:47 (average) 19:41 (median)
17,['huntdown'],"['Easy Trigger Games', 'Coffee Stain Publishing']","['Action', 'Indie']"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing","May 12, 2021",$19.99,"100,000 .. 200,000","14,559",04:22 (average) 04:59 (median)
18,['the forgotten city'],"['Modern Storyteller', 'Dear Villagers']","['Indie', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Jul 28, 2021",$24.99,"200,000 .. 500,000","37,858",07:05 (average) 09:46 (median)
19,"[""death's door""]","['Acid Nerve', 'Devolver Digital']","['Indie', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Jul 20, 2021",$19.99,"500,000 .. 1,000,000","62,188",11:52 (average) 10:29 (median)
20,['football manager 2022'],"['Sports Interactive', 'SEGA']","['Simulation', 'Sports']"," Single-player, Multi-player, Steam Achievements, Steam Cloud","Nov 9, 2021",,"2,000,000 .. 5,000,000","48,698",293:49 (average) 268:32 (median)
21,['guilty gear -strive-'],"['Arc System Works', 'Arc System Works']","['Fr', 'Action']"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing","Jun 11, 2021",$19.99,"1,000,000 .. 2,000,000","93,580",137:37 (average) 19:49 (median)
22,['atelier ryza 2: lost legends & the secret fairy'],"['KOEI TECMO GAMES CO., LTD.', 'KOEI TECMO GAMES CO., LTD.']","['Fr', 'RPG']"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing","Jan 25, 2021",$59.99,"200,000 .. 500,000","46,027",40:17 (average) 44:57 (median)
23,['heavenly bodies'],"['2pt Interactive', '2pt Interactive']","['Indie', 'Simulation']"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","Dec 7, 2021",$19.99,"200,000 .. 500,000","15,903",05:50 (average) 03:17 (median)
24,['griftlands'],"['Klei Entertainment', 'Klei Entertainment']","['Indie', 'in Early Access']"," Single-player, Steam Workshop, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing","Jun 1, 2021 (previously",$19.99,"500,000 .. 1,000,000","57,604",20:01 (average) 11:55 (median)
25,['tales of arise'],"['Bandai Namco Studios Inc.', 'Bandai Namco Entertainment']","['Action', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Sep 9, 2021",$39.99,"2,000,000 .. 5,000,000","141,289",26:41 (average) 23:33 (median)
26,['elechead'],"['Tsuyomi', 'NamaTakahashi']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Family Sharing","Oct 14, 2021",$9.99,"50,000 .. 100,000","1,470",03:00 (average) 03:00 (median)
27,['humanity lost'],"['Crafty Game Lab', 'Crafty Game Lab']","['Adventure', 'RPG']"," Single-player, Family Sharing","Apr 26, 2021",$3.99,"0 .. 20,000",786,
28,['sam & max: beyond time and space'],"['Skunkape Games', 'Skunkape Games']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","Dec 8, 2021",$19.99,"0 .. 20,000","3,381",
29,['astalon: tears of the earth'],"['LABS Works', 'DANGEN Entertainment']","['Action', 'Adventure']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Jun 3, 2021",$9.99,"20,000 .. 50,000","4,500",02:18 (average) 03:15 (median)
30,['fuga: melodies of steel'],"['CyberConnect2', 'CyberConnect2']","['Simulation', 'Strategy']"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","Jul 28, 2021",$39.99,"20,000 .. 50,000","10,879",03:56 (average) 06:22 (median)
31,['the darkside detective: a fumble in the dark'],"['Spooky Doorway', 'Akupara Games']","['Casual', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Apr 15, 2021",$8.24,"50,000 .. 100,000","5,870",03:51 (average) 03:51 (median)
32,['unsighted'],"['Studio Pixel Punk', 'Humble Games']","['Indie', 'RPG']"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Sep 30, 2021",$19.99,"50,000 .. 100,000","12,745",00:18 (average) 00:18 (median)
33,['sunlight'],"['Krillbite Studio', 'Krillbite Studio']","['Adventure', 'Indie']"," Single-player, Partial Controller Support, Family Sharing","Jan 14, 2021",$3.99,"0 .. 20,000","1,004",00:17 (average) 00:17 (median)
34,['papetura'],"['Petums', 'Petums']","['Casual', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","May 7, 2021",$11.99,"20,000 .. 50,000","6,494",02:34 (average) 02:34 (median)
35,['demeo'],"['Resolution Games', 'Resolution Games']","['RPG', 'Strategy']"," Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Family Sharing","May 6, 2021",$39.99,"100,000 .. 200,000","12,902",07:19 (average) 06:42 (median)
36,"[""shadow tactics: aiko's choice""]","['Mimimi Games', 'Daedalic Entertainment']","['Indie', 'Strategy']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","Dec 6, 2021",$4.99,"200,000 .. 500,000","15,824",03:57 (average) 04:52 (median)
37,['the great ace attorney chronicles'],"['CAPCOM Co., Ltd.', 'CAPCOM Co., Ltd.']","['Fr', 'Adventure']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Jul 26, 2021",$15.99,"100,000 .. 200,000","28,113",26:38 (average) 45:08 (median)
38,['everhood'],"['Foreign Gnomes', 'Surefire.Games']","['Indie', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Mar 4, 2021",$9.99,"200,000 .. 500,000","13,225",05:44 (average) 06:10 (median)
39,['the riftbreaker'],"['EXOR Studios', 'Surefire.Games']","['Simulation', 'Strategy']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on TV, Family Sharing","Oct 14, 2021",$29.99,"1,000,000 .. 2,000,000","91,706",32:38 (average) 24:00 (median)
40,['unpacking'],"['Witch Beam', 'Humble Games']","['Indie', 'Simulation']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Nov 1, 2021",$9.99,"500,000 .. 1,000,000","65,233",05:19 (average) 05:42 (median)
41,['pathfinder: wrath of the righteous - enhanced edition'],"['META Publishing', 'Owlcat Games']","['RPG', 'Strategy']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Sep 2, 2021",$39.99,"1,000,000 .. 2,000,000","113,310",70:45 (average) 15:02 (median)
42,['little nightmares ii'],"['Tarsier Studios', 'BANDAI NAMCO Entertainment']","['Fr', 'Adventure']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing","Feb 10, 2021",$13.99,"1,000,000 .. 2,000,000","150,661",07:19 (average) 06:27 (median)
43,['resident evil village'],"['CAPCOM Co., Ltd.', 'CAPCOM Co., Ltd.']","['Fr', 'Action']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing","May 6, 2021",$15.99,"2,000,000 .. 5,000,000","185,172",23:24 (average) 16:21 (median)
44,['unmetal'],"['@unepic_fran', 'Versus Evil']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Sep 28, 2021",$19.99,"100,000 .. 200,000","11,709",02:53 (average) 02:53 (median)
45,['the life and suffering of sir brante'],"['Sever', '101XP']","['Simulation', 'Strategy']"," Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","Mar 4, 2021",$19.99,"200,000 .. 500,000","18,337",33:38 (average) 62:19 (median)
46,['tainted grail: conquest'],"['Questline', 'Awaken Realms']","['RPG', 'in Early Access']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","May 27, 2021 (previously",$19.99,"200,000 .. 500,000","40,292",12:34 (average) 10:35 (median)
47,['gloomhaven'],"['Saber Interactive', 'Twin Sails Interactive']","['Strategy', 'in Early Access']"," Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing","Oct 20, 2021 (previously",$34.99,"500,000 .. 1,000,000","88,375",58:43 (average) 32:23 (median)
48,['eastward'],"['Pixpil', 'Chucklefish']","['Indie', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Sep 16, 2021",$24.99,"500,000 .. 1,000,000","107,089",09:02 (average) 07:54 (median)
49,['monster hunter stories 2: wings of ruin'],"['CAPCOM Co., Ltd.', 'CAPCOM Co., Ltd.']","['Adventure', 'RPG']"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Jul 8, 2021",$29.99,"2,000,000 .. 5,000,000","67,828",48:12 (average) 38:02 (median)
50,['clone drone in the danger zone'],"['Doborog Games', 'Doborog Games']","['Action', 'Indie']"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Captions available, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing","Jul 27, 2021",$19.99,"500,000 .. 1,000,000","32,617",14:41 (average) 11:37 (median)
51,['blake: the visual novel'],"['Ori Mees', 'LegendOri Productions']","['Casual', 'Indie']"," Single-player, Steam Achievements","Aug 31, 2021",,"0 .. 20,000",146,
52,['star drift evolution'],"['Catze', 'Catze']","['Fr', 'Racing']"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing","Aug 27, 2021",$14.99,"20,000 .. 50,000",972,00:59 (average) 00:59 (median)
53,['cyber shadow'],"['Aarne ""MekaSkull"" Hunziker', 'Yacht Club Games']","['Action', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Jan 26, 2021",$19.99,"200,000 .. 500,000","9,536",17:18 (average) 17:18 (median)
54,['kaze and the wild masks'],"['PixelHive', 'SOEDESCO']","['Casual', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Mar 26, 2021",$14.99,"0 .. 20,000","5,616",03:32 (average) 03:37 (median)
55,['the ramp'],"['Paul Schnepf', 'hyperparadise']","['Simulation', 'Sports']"," Single-player, Steam Achievements, Full controller support, Family Sharing","Aug 3, 2021",$5.99,"50,000 .. 100,000","2,850",00:14 (average) 00:14 (median)
56,['svoboda 1945: liberation'],"['Charles Games', 'Charles Games']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Steam Cloud, Family Sharing","Aug 3, 2021",$15.99,"20,000 .. 50,000","1,706",
57,['rainbow billy: the curse of the leviathan'],"['ManaVoid Entertainment', 'Skybound Games']","['Indie', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing","Oct 5, 2021",$19.99,"0 .. 20,000","1,466",
58,['silicon dreams | cyberpunk interrogation'],"['Clockwork Bird', 'Clockwork Bird']","['Indie', 'Simulation']"," Single-player, Steam Achievements, Family Sharing","Apr 20, 2021",$16.99,"50,000 .. 100,000","1,926",
59,['bonfire peaks'],"['Corey Martin', 'Draknek']","['Fr', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing","Sep 30, 2021",$19.99,"20,000 .. 50,000","1,516",04:17 (average) 04:17 (median)
60,['ynglet'],"['Nifflas', 'Triple Topping']","['Casual', 'Indie']"," Single-player, Steam Achievements, Full controller support, Family Sharing","Jun 5, 2021",$4.99,"20,000 .. 50,000","1,087",
61,['overboard!'],"['inkle Ltd', 'inkle Ltd']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Family Sharing","Jun 2, 2021",$14.99,"50,000 .. 100,000","3,362",03:26 (average) 03:26 (median)
62,['flynn: son of crimson'],"['Studio Thunderhorse', 'Humble Games']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Sep 15, 2021",$19.99,"20,000 .. 50,000","7,415",00:17 (average) 00:17 (median)
63,['doctor who: the lonely assassins'],"['Maze Theory', 'Another Indie']","['Casual', 'Indie']"," Single-player, Family Sharing","Mar 18, 2021",$5.99,"100,000 .. 200,000","1,612",
64,['boomerang x'],"['DANG!', 'Devolver Digital']","['Action', 'Indie']"," Single-player, Steam Achievements, Full controller support, Family Sharing","Jul 8, 2021",$19.99,"100,000 .. 200,000","5,222",
65,['the pathless'],"['Giant Squid', 'Annapurna Interactive']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Nov 16, 2021",$39.99,"20,000 .. 50,000","9,297",01:16 (average) 01:16 (median)
66,['labyrinth city: pierre the maze detective'],"['Darjeeling', 'Pixmain']","['Casual', 'Indie']"," Single-player, Steam Achievements, Full controller support, Family Sharing","Jun 22, 2021",$11.99,"100,000 .. 200,000","8,476",01:18 (average) 01:26 (median)
67,['happy game'],"['Amanita Design', 'Amanita Design']","['Casual', 'Indie']"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","Oct 28, 2021",$13.13,"100,000 .. 200,000","8,512",02:46 (average) 03:00 (median)
68,['trials of fire'],"['Whatboy Games', 'Whatboy Games']","['RPG', 'Strategy']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Family Sharing","Apr 9, 2021",$19.99,"200,000 .. 500,000","18,087",03:47 (average) 04:41 (median)
69,['the legend of tianding'],"['Neon Doctrine', ' Neon Doctrine']","['Adventure', 'RPG']"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Nov 1, 2021",$19.99,"200,000 .. 500,000","13,411",08:48 (average) 10:03 (median)
70,['grime'],"['Clover Bite', 'Akupara Games']","['Indie', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Aug 2, 2021",$14.99,"200,000 .. 500,000","25,805",24:45 (average) 30:26 (median)
71,['f.i.s.t.: forged in shadow torch'],"['TiGames', 'bilibili']","['Simulation', 'Sports']"," Single-player, Steam Achievements, Full controller support, Family Sharing","Oct 2, 2021",$29.99,"500,000 .. 1,000,000","35,467",12:35 (average) 16:03 (median)
72,['tails of iron'],"['United Label', 'CI Games']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","Sep 17, 2021",$24.99,"200,000 .. 500,000","29,965",03:26 (average) 03:49 (median)
73,['doki doki literature club plus!'],"['Team Salvato', 'Serenity Forge']","['Casual', 'Indie']"," Single-player, Steam Achievements, Steam Cloud, Family Sharing","Jun 30, 2021",$14.99,"500,000 .. 1,000,000","66,809",11:57 (average) 16:13 (median)
74,['age of empires iv: anniversary edition'],"[""World's Edge"", 'Xbox Game Studios']","['Fr', 'Strategy']"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Family Sharing","Oct 28, 2021",$39.99,"2,000,000 .. 5,000,000","276,384",59:12 (average) 17:06 (median)
75,['dark deity'],"['Sword & Axe LLC', 'Freedom Games']","['RPG', 'Strategy']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Jun 15, 2021",$24.99,"100,000 .. 200,000","19,807",06:04 (average) 08:02 (median)
76,['dreamscaper'],"['Freedom Games', 'Maple Whispering Limited']","['Indie', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Aug 5, 2021",$24.99,"200,000 .. 500,000","31,166",05:08 (average) 07:17 (median)
77,['atom rpg trudograd'],"['AtomTeam', 'AtomTeam']","['Fr', 'RPG']"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Sep 13, 2021",$10.99,"200,000 .. 500,000","25,772",12:18 (average) 11:52 (median)
78,['knockout city'],"['Velan Studios', 'Velan Studios']","['Indie', 'Sports']"," Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases","May 21, 2021",,"1,000,000 .. 2,000,000","27,898",05:24 (average) 04:14 (median)
79,['the last campfire'],"['Hello Games', 'Hello Games']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Oct 7, 2021",$14.99,"200,000 .. 500,000","18,756",04:25 (average) 06:15 (median)
80,['ruined king: a league of legends story'],"['Airship Syndicate', 'Riot Forge']","['Indie', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Nov 16, 2021",$29.99,"200,000 .. 500,000","60,462",12:22 (average) 10:42 (median)
81,['impostor factory'],"['Freebird Games', 'Freebird Games']","['Indie', 'RPG']"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","Sep 30, 2021",$9.99,"500,000 .. 1,000,000","18,727",03:23 (average) 03:51 (median)
82,['skul: the hero slayer'],"['SOUTHPAW GAMES', 'NEOWIZ']","['Indie', 'in Early Access']"," Single-player, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Jan 20, 2021 (previously",$19.99,"1,000,000 .. 2,000,000","110,092",30:32 (average) 11:28 (median)
83,['time commando'],"['[2.21]', '[2.21]']","['Fr', 'Action']"," Single-player, Family Sharing","Oct 9, 2021",$5.99,"200,000 .. 500,000",348,
84,['super magbot'],"['Astral Pixel', 'Team17']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing","Jun 22, 2021",$2.49,"0 .. 20,000","1,524",12:57 (average) 12:57 (median)
85,['dandy ace'],"['Mad Mimic', 'NEOWIZ']","['Action', 'Indie']"," Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","Mar 25, 2021",$19.99,"50,000 .. 100,000","6,068",03:08 (average) 03:08 (median)
86,['the artful escape'],"['Beethoven and Dinosaur', 'Annapurna Interactive']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Sep 9, 2021",$19.99,"50,000 .. 100,000","6,343",03:13 (average) 04:08 (median)
87,['time loader'],"['Flazm', 'META Publishing']","['Racing', 'Simulation']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","Nov 3, 2021",$14.99,"0 .. 20,000","3,088",01:10 (average) 01:10 (median)
88,['midnight protocol'],"['LuGus Studios', 'Iceberg Interactive']","['RPG', 'Strategy']"," Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing","Oct 13, 2021",$14.99,"20,000 .. 50,000","3,636",07:15 (average) 05:44 (median)
89,['golf club nostalgia'],"['Demagog Studio', 'Untold Tales']","['Indie', 'Sports']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Sep 3, 2021",$9.99,"200,000 .. 500,000","2,683",01:39 (average) 02:15 (median)
90,"[""ocean's heart""]","['Max Mraz', 'Nordcurrent Labs']","['Indie', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Jan 21, 2021",$14.99,"100,000 .. 200,000","12,478",15:32 (average) 15:32 (median)
91,"[""lego builder's journey""]","['Light Brick Studio', 'LEGO® Games']","['Casual', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Jun 22, 2021",$19.99,"200,000 .. 500,000","17,258",02:05 (average) 02:34 (median)
92,['shin megami tensei iii nocturne hd remaster'],"['ATLUS', 'SEGA']","['Fr', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","May 20, 2021",$49.99,"100,000 .. 200,000","23,829",02:31 (average) 03:39 (median)
93,['super robot wars 30'],"['B.B.STUDIO CO.,LTD.', 'Bandai Namco Entertainment']","['Simulation', 'Strategy']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Oct 27, 2021",$59.99,"200,000 .. 500,000","37,370",62:55 (average) 89:50 (median)
94,['toem: a photo adventure'],"['Something We Made', 'popagenda']","['Casual', 'Indie']"," Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Family Sharing","Sep 17, 2021",$19.99,"100,000 .. 200,000","9,336",13:05 (average) 13:05 (median)
95,['hell let loose'],"['Team17', 'Team17']","['Strategy', 'in Early Access']"," Multi-player, PvP, Online PvP, Steam Achievements, Partial Controller Support, Family Sharing","Jul 27, 2021 (previously",$29.24,"2,000,000 .. 5,000,000","316,213",51:43 (average) 11:54 (median)
96,['jupiter hell'],"['ChaosForge', 'Hyperstrange']","['Strategy', 'in Early Access']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Aug 5, 2021 (previously",$24.99,"50,000 .. 100,000","14,620",02:47 (average) 02:12 (median)
